"index","Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
0,"Klinik Lee Dan Surgeri",1,0,1,0,"","","45 (Ground Floor), Jalan Mutiara 1/2, Taman Mutiara Mas, Jalan Gelang Patah-Skudai, 81300 Skudai, Johor","","Johor"
1,"Klinik Central 24 Jam",1,0,1,0,"","","92 Ground Floor, Jalan Adda 7, Taman Adda, 81100 Johor Bahru","","Johor"
2,"Klinik Mediviron Bukit Indah Jb",1,0,1,0,"","","No 87, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor","","Johor"
3,"Klinik Yap & Partners",1,0,1,0,"","","(Ground Floor), 7523 & 7524, Jalan Enggang 19, Bandar Putra, 81000 Kulai, Johor","","Johor"
4,"Klinik Angkasa",1,0,1,0,"","","Tingkat Bawah, No 147, Jalan Scientex Jaya 7, Taman Scientex, 81400 Senai, Johor","","Johor"
6,"Mj Healthcare Clinic",1,0,1,0,"","","P-01-14 (Tingkat Bawah), Teluk Akua Biru, Jalan Forest City 3, Pulau Satu, 81550 Gelang Patah, Johor","","Johor"
7,"Poliklinik Penawar",1,0,1,0,"","","No. 104, Jalan Bintang, Taman Bintang 81400 Senai, Johor","","Johor"
8,"Poliklinik Penawar",1,0,1,0,"","","No. 16, Pusat Bandar, Bandar Penawar, 81900 Kota Tinggi, Johor","","Johor"
9,"Poliklinik Penawar Bandar Baru Uda",1,0,1,0,"","","No. 31 & 32, Jalan Padi Ria, Bandar Baru Uda 81200 Tampoi, Johor","","Johor"
10,"Poliklinik Penawar",1,0,1,0,"","","No. 49, Jalan Medan Nusa Perintis 6, Taman Nusa Perintis, 81560 Johor Bahru, Johor","","Johor"
11,"Klinik Mediviron",1,0,1,0,"","","No. 7 (Ground Floor), Jalan Badik 1, Taman Sri Tebrau, 80050 Johor Bahru, Johor","","Johor"
13,"Kang Ming Family Clinic Sdn. Bhd.",1,0,1,0,"","","No. 17, Tingkat Bawah, Jalan Eco Cascadia 6/1, Taman Setia Eco Cascadia, 81100 Johor Bahru, Johor","","Johor"
