"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Klinik 1 Malaysia Alma Jaya",1,0,0,0,"","","No. 38, Tingkat Bawah
Lorong Alma Jaya II, Taman Alma Jaya Bukit Mertajam
14000
Pulau pinang","04-5521033","Pulau pinang"
"Klinik 1 Malaysia Aulong",1,0,0,0,"","","N0 51 &53, Jalan Medan Bersatu
Taman Medan Bersatu, Taiping
34000
Perak","05-8068867","Perak"
"Klinik 1 Malaysia Bandar Lela",1,0,0,0,"","","Lot 7A &7B, Tingkat Bawah
Blok B Mile 1, Jalan Leila Sandakan
90700
Sabah","089-613204","Sabah"
"Klinik 1 Malaysia Bandar Puteri Jaya",1,0,0,0,"","","No.41, Tingkat Bawah
Jalan Puteri Jaya 1/1, Bandar Puteri Jaya, Sungai Petani
8000
Kedah","04-4243662","Kedah"
"Klinik 1 Malaysia Bandar seri Iskandar",1,0,0,0,"","","N0.32 Blod D, Bangunan Rumah Kedai
Bandar Seri Isandar
32600
Perak","05-3714260","Perak"
"Klinik 1 Malaysia Bandar Sri Alam",1,0,0,0,"","","Blok A, Rumah Pangsa Sri Alam
Jalan Pangsa 64, Bandar Sri Alam, Johor Bahru
81750
Johor","07-2523001","Johor"
"Klinik 1 Malaysia Bandar Sri Indah",1,0,0,0,"","","Lot 334, Tingkat Bawah
Bandar Sri Indah Batu 10 Jalan Apas, Tawau
91000
Sabah","089-754171","Sabah"
"Klinik 1 Malaysia Batu Berendam",1,0,0,0,"","","No.39, Jalan M1
Batu Berendam
75350
Melaka","06-3170012","Melaka"
"Klinik 1 Malaysia Batu Kawan",1,0,0,0,"","","No.19 Lorong Cempaka 1, Taman Cempaka
Batu Kawan Simpang Empat, Seberang Perai Selatan
14100
Pulau pinang","04-5880071","Pulau pinang"
"Klinik 1 Malaysia Batu Melintang",1,0,0,0,"","","Kg Batu
Jeli
17250
Kelantan","09-9447622","Kelantan"
"Klinik 1 Malaysia Bercham",1,0,0,0,"","","No.6A-1 & 10, Persiaran Medan Bercham 7
Pusat Bandar Bercham Timur, Ipoh Perak
31400
Perak","05-3600039","Perak"
"Klinik 1 Malaysia Binjai",1,0,0,0,"","","1190, Mukim Binjai
Kemaman
24000
Terengganu","09-8586081","Terengganu"
"Klinik 1 Malaysia Bukit Beruntung",1,0,0,0,"","","C-G-01, Apartment Kenanga
Taman Bunga Raya, Bukit Beruntung, Hulu Selangor
48000
Selangor","03-60212832","Selangor"
"Klinik 1 Malaysia Bukit Katil",1,0,0,0,"","","No.17 Jalan IKS
Bukit Katil
75450
Melaka","06-2311278","Melaka"
"Klinik 1 Malaysia Bukit Payong",1,0,0,0,"","","8216, Tingkat Bawah
Bangunan Kedai Permit, Bukit Payong, Marang
21400
Terengganu","09-6192193","Terengganu"
"Klinik 1 Malaysia Bukit Sentosa",1,0,0,0,"","","No.13 Jalan Seroja 1B
Bukit Sentosa. 48000 Hulu Selangor
48000
Selangor","03-60211466","Selangor"
"Klinik 1 Malaysia Bundusan Square",1,0,0,0,"","","Lot 67, Tingkat bawah
Blok H, Bundusan Square, Penampang
88300
Sabah","088-731225/226","Sabah"
"Klinik 1 Malaysia Cakerapurnama",1,0,0,0,"","","No.105, Jalan Cakerapurnama
12/2 Seksyen 12, Bandar Baru Puncak Alam, 45010 Kuala Selangor
45010
Selangor","03-33933115","Selangor"
"Klinik 1 Malaysia Desa Rejang",1,0,0,0,"","","Blok B-0-1, PPR Desa Rejang
Setapak
52100
Kuala lumpur","03-41429891","Kuala lumpur"
"Klinik 1 Malaysia Intan Baiduri",1,0,0,0,"","","B-0-5, Blok B
Kepong Utara, Mukim Batu, Kepong
52100
Kuala lumpur","03-61203799","Kuala lumpur"
