"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Klinik Kesihatan Pantai",1,0,0,0,3.115289,101.668414,"C15-3, Tower C, Wisma Goshen, Plaza Pantai, No.5 Jalan 4/83A, Off Jalan Pantai Baru
59200, Pantai Baru
WP Kuala Lumpur","03-22881071","WP Kuala Lumpur"
"Klinik Kesihatan Tanglin",1,0,0,0,3.144953,101.691319,"Jalan Cenderasari
50590, Tanglin
WP Kuala Lumpur","03-26983311","WP Kuala Lumpur"
"Klinik Kesihatan Pandamaran",1,0,0,0,3.014444,101.412778,"Persiaran Raja Muda Musa
42000, Klang
Selangor","03-31658769","Selangor"
"Klinik Kesihatan Pulau Indah",1,0,0,0,2.937778,101.324722,"PT 8805, JKR 1353, Jalan Rahmat
42920, Klang
Selangor","03-31012035","Selangor"
"Klinik Kesihatan Pulau Ketam",1,0,0,0,3.018889,101.253333,"PT 14208, Jalan Merdeka
42490, Pelabuhan Klang
Selangor","03-31104206","Selangor"
"Klinik Kesihatan Kampung Bandar",1,0,0,0,2.842977,101.441292,"Jalan Kurai, Chendoi
42700, Banting
Selangor","03-31201333","Selangor"
"Klinik Kesihatan Sijangkang",1,0,0,0,2.941017,101.456183,"Jalan Sekolah, Batu 1, Kg Sijangkang
42500, Banting
Selangor","03-31226686","Selangor"
"Klinik Kesihatan Telok Panglima Garang",1,0,0,0,2.90509,101.46769,"Telok Panglima Garang
42500, Banting
Selangor","03-31227433","Selangor"
"Klinik Kesihatan Bukit Changgang",1,0,0,0,2.82731,101.62049,"Bukit Changgang
42700, Banting
Selangor","03-31491355","Selangor"
"Klinik Kesihatan Pelabuhan Klang",1,0,0,0,3.000833,101.393889,"PT 6/62, Jalan Limbungan
42000, Klang
Selangor","03-31658459","Selangor"
"Klinik Kesihatan Batu 10 Kebun Baru",1,0,0,0,2.91227,101.48782,"Jalan Dato' Kasman, Batu 10, Teluk Panglima Garang
42500, Banting
Selangor","03-31220943","Selangor"
"Klinik Kesihatan Kanchung Darat",1,0,0,0,2.788981,101.48845,"Jalan Durian, Kanchung Darat
42700, Kuala Langat
Selangor","03-31871934","Selangor"
"Klinik Kesihatan Telok Datok",1,0,0,0,2.819472,101.518006,"Jalan Pegawai
42700, Banting
Selangor","03-31871117","Selangor"
"Klinik Kesihatan Jenjarom",1,0,0,0,2.877959,101.500299,"Jenjorom, Kuala Langat, Jalan Besar
42700, Banting
Selangor","03-31913066","Selangor"
"Klinik Kesihatan Tanjung Sepat",1,0,0,0,2.665583,101.551437,"Tanjung Sepat
42700, Banting
Selangor","03-31972880","Selangor"
"Klinik Kesihatan Parit Baru",1,0,0,0,3.81659,100.8431,"Jalan Masjid
45100, Parit Baru
Selangor","03-32136223","Selangor"
"Klinik Kesihatan Sungai Air Tawar",1,0,0,0,3.78833,100.88694,"Jalan Besar, Sungai Air Tawar
45100, Sabak Bernam
Selangor","03-32136227","Selangor"
"Klinik Kesihatan Merbau Berdarah
 3.637068, 101.062663",1,0,0,0,"","","Jalan PT 16, Kg. Kelompok Binjai, Sg Panjang
45300, Sungai Besar
Selangor","03-32161077","Selangor"
"Klinik Kesihatan Bagan Terap",1,0,0,0,3.749379,101.056794,"Jalan Bagan Terap
45300, Sungai Besar
Selangor","03-32162722","Selangor"
