"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Klinik Kesihatan Prai",1,0,0,0,5.38377808305,100.388090053,"13700, Prai
Pulau Pinang","04-3901477","Pulau Pinang"
"Klinik Desa Permatang Tinggi",1,0,0,0,5.2982585172,100.479426185,"Permatang Tinggi
14000, Bukit Mertajam
Pulau Pinang","04-5884202","Pulau Pinang"
"Klinik Desa Kubang Ulu",1,0,0,0,5.40853875421,100.482213638,"Kubang Ulu
14000, Bukit Mertajam
Pulau Pinang","04-5214980","Pulau Pinang"
"Klinik Desa Permatang Pauh",1,0,0,0,5.41138666165,100.412542714,"Jalan Sama Gagah
13500, Bukit Mertajam
Pulau Pinang","04-3981380","Pulau Pinang"
"Klinik Kesihatan Ibu Dan Anak Bukit Mertajam",1,0,0,0,5.35941120083,100.464925324,"Jalan Kulim
14000, Bukit Mertajam
Pulau Pinang","04-5382389","Pulau Pinang"
"Hospital Sungai Bakap",1,0,0,0,5.21974844397,100.497148792,"Sungai Jawi
14200, Seberang Perai Selatan
Pulau Pinang","04-5824333","Pulau Pinang"
"Klinik Kesihatan Bukit Panchor",1,0,0,0,5.16655672168,100.492800717,"Mukim 7, Lot 1866
Jalan Bukit Panchor
14300, Nibong Tebal
Pulau Pinang","04-5931679","Pulau Pinang"
"Klinik Desa Alma",1,0,0,0,5.33208496174,100.473225836,"14000, Bukit Mertajam
Pulau Pinang","04-5516064","Pulau Pinang"
"Klinik Desa Juru",1,0,0,0,5.31570460719,100.443412289,"Kampung Juru
14000, Bukit Mertajam
Pulau Pinang","04-5086500","Pulau Pinang"
"Klinik Desa Kampung Sekolah",1,0,0,0,5.3160153936,100.421524922,"Kampung Sekolah
14000, Bukit Mertajam
Pulau Pinang","04-5079458","Pulau Pinang"
"Klinik Desa Bukit Tengah",1,0,0,0,5.36424762479,100.429166688,"Jalan Permatang Pauh
14000, Bukit Mertajam
Pulau Pinang","04-5372342","Pulau Pinang"
"Klinik Desa Kampung Pertama",1,0,0,0,5.39209195236,100.418060784,"Kampung Pertama
Jalan Permatang Pauh
14000, Bukit Mertajam
Pulau Pinang","04-3982281","Pulau Pinang"
"Klinik Desa Machang Bubok",1,0,0,0,5.3399425842,100.512887509,"Machang Bubok
14020, Bukit Mertajam
Pulau Pinang","04-5515985","Pulau Pinang"
"Klinik Desa Permatang Rawa",1,0,0,0,5.36897528622,100.453381608,"Permatang Rawa
14000, Bukit Mertajam
Pulau Pinang","04-5372541","Pulau Pinang"
"Klinik Kesihatan Kubang Semang",1,0,0,0,5.39749418875,100.46386347,"Mukim 5, Lot 807
14400, Bukit Mertajam
Pulau Pinang","04-5390654","Pulau Pinang"
"Klinik Desa Bukit Indera Muda",1,0,0,0,5.40757980077,100.452100086,"Bukit Indera Muda
14400, Penanti
Pulau Pinang","04-5383761","Pulau Pinang"
"Klinik Desa Permatang Pasir",1,0,0,0,5.41527244975,100.437974476,"Permatang Pasir
14000, Bukit Mertajam
Pulau Pinang","04-8665539","Pulau Pinang"
"Klinik Desa Padang Ibu",1,0,0,0,5.4250771833,100.467937594,"Padang Ibu
14400, Penanti
Pulau Pinang","04-5213160","Pulau Pinang"
"Klinik Desa Sungai Lembu",1,0,0,0,5.39149360067,100.52257388,"Sungai Lembu
14000, Bukit Mertajam
Pulau Pinang","04-5213689","Pulau Pinang"
"Hospital Seberang Jaya",1,0,0,0,5.39441480703,100.40820172,"Jalan Tun Hussein Onn
13700, Perai
Pulau Pinang","04-3827333","Pulau Pinang"
"Klinik Kesihatan Seberang Jaya",1,0,0,0,5.39349168504,100.398428614,"Mukim 1, Lot 340
Jalan Perpustakaan
13700, Seberang Jaya
Pulau Pinang","04-3900264","Pulau Pinang"
"Klinik Kesihatan Ibu Dan Anak Sungai Bakap",1,0,0,0,5.2175122599,100.497957021,"Jalan Besar
14200, Sungai Bakap
Pulau Pinang","04-5824205","Pulau Pinang"
"Klinik Kesihatan Berapit",1,0,0,0,5.37643038775,100.47455979,"Mukm 17, Lot 89
14000, Bukit Mertajam
Pulau Pinang","04-5395400","Pulau Pinang"
"Klinik Kesihatan Sungai Dua",1,0,0,0,5.44183912429,100.430743602,"Mukim 11, Lot 2349
Jalan Pengkalan Machang
13800, Butterworth
Pulau Pinang","04-3564355","Pulau Pinang"
"Klinik Kesihatan Mak Mandin",1,0,0,0,5.42114094454,100.389246537,"Seksyen 3, Lot 2882
Jalan Mak Mandin
13400, Butterworth
Pulau Pinang","04-3244685","Pulau Pinang"
"Klinik Kesihatan Sungai Acheh",1,0,0,0,5.15020154481,100.422700011,"Sungai Acheh, Lot 1376
Jalan Sungai Acheh
14300, Nibong Tebal
Pulau Pinang","04-5981733","Pulau Pinang"
"Klinik Kesihatan Nibong Tebal",1,0,0,0,5.16354552583,100.473745948,"Mukim 17, Lot 320
Jalan Klinik
14300, Nibong Tebal
Pulau Pinang","04-5931355","Pulau Pinang"
"Klinik Kesihatan Bukit Minyak",1,0,0,0,5.32668080611,100.448381103,"Mukim14, Lot 106
14000, Bukit Mertajam
Pulau Pinang","04-5071355","Pulau Pinang"
"Klinik Kesihatan Tasek Gelugor",1,0,0,0,5.48419521092,100.491390439,"Mukim 12, Lot 1944
13300, Tasek Gelugor
Pulau Pinang","04-5731204","Pulau Pinang"
"Klinik Desa Bagan Ajam",1,0,0,0,5.44744147092,100.382886111,"Jalan Bagan Ajam
13000, Butterworth
Pulau Pinang","04-3240060","Pulau Pinang"
"Klinik Desa Sungai Puyu",1,0,0,0,5.4460482156,100.396143404,"Sungai Puyu
Jalan Sungai Puyu
13020, Butterworth
Pulau Pinang","04-3240050","Pulau Pinang"
"Klinik Desa Lahar Yooi",1,0,0,0,5.46640957884,100.461466136,"Lahar Yooi
13300, Tasek Gelugor
Pulau Pinang","04-5736798","Pulau Pinang"
"Klinik Desa Pokok Sena",1,0,0,0,5.48447047015,100.450657899,"Pokok Sena
13200, Kepala Batas
Pulau Pinang","04-5759129","Pulau Pinang"
"Klinik Desa Permatang Buloh",1,0,0,0,5.48038255413,100.426550749,"Permatang Buloh
13200, Kepala Batas
Pulau Pinang","04-5741014","Pulau Pinang"
"Klinik Desa Pekan Darat",1,0,0,0,5.47869882527,100.401702181,"Pekan Darat
13300, Butterworth
Pulau Pinang","04-3515759","Pulau Pinang"
"Klinik Desa Permatang Sintok",1,0,0,0,5.51135973266,100.404012853,"Permatang Sintok
13100, Kepala Batas
Pulau Pinang","04-5759136","Pulau Pinang"
"Klinik Desa Lahar Kepar",1,0,0,0,5.53814049079,100.416661233,"Lahar Kepar
13200, Kepala Batas
Pulau Pinang","04-5759112","Pulau Pinang"
"Klinik Desa Bumbung Lima",1,0,0,0,5.55362716369,100.435976816,"Bumbung Lima
13200, Kepala Batas
Pulau Pinang","04-5759110","Pulau Pinang"
