"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"KKIA Baling",1,0,0,0,5.68086,100.91618,"Lot 851, Lorong Harun Abdullah, Off Jalan Weng
9100, Baling
Kedah","04-4701351","Kedah"
"KKIA Sungai Petani",1,0,0,0,5.64241,100.48786,"81, Jalan Padang
8000, Sungai Petani
Kedah","04-4216357","Kedah"
"KKIA Jitra",1,0,0,0,6.26274,100.42033,"Klinik Kesihatan Ibu Dan Anak Jitra
6000, Jitra
Kedah","04-9171355","Kedah"
"KKIA Kuala Nerang",1,0,0,0,6.25558,100.61333,"Klinik Kesihatan Ibu Dan Anak Kuala Nerang
6300, Kuala Nerang
Kedah","04-7866355 / 04-7860510","Kedah"
"KKIA Sik",1,0,0,0,5.82364,100.74538,"Jalan Tuanku Ibrahim
8200, Sik
Kedah","04-4690617","Kedah"
"KKIA Yan",1,0,0,0,5.78155,100.37149,"Klinik Kesihatan Ibu Dan Anak Yan, Yan Besar
6900, Yan
Kedah","04-4655355","Kedah"
"KKIA Air Putih",1,0,0,0,5.3641,100.21778,"Lot 312, Mk.E, Jkr 2761 (P) Air Putih
11000, Balik Pulau
Pulau Pinang","04-8660287","Pulau Pinang"
"KKIA Sungai Bakap",1,0,0,0,5.21802,100.49796,"Sungai Bakap
14200, Sungai Bakap
Pulau Pinang","04-5824205","Pulau Pinang"
"KKIA Bukit Mertajam",1,0,0,0,5.35989,100.46461,"D 49, Jalan Kulim, 14000 Bukit Mertajam
14000, Bukit Mertajam
Pulau Pinang","04-5382389","Pulau Pinang"
"KKIA Rifle Range",1,0,0,0,5.410481,100.289767,"Unit A-G-18, Flat Padang Tembak Blok A, Rumah Pangsa Rifle Range, Ayer Itam
11500, Georgetown
Pulau Pinang","04-8296355","Pulau Pinang"
"KKIA Taman Tun Sardon",1,0,0,0,5.36931,100.30372,"Unit A-G-9 & A-G-10 Rumah Pangsa Taman Tun Sardon, Gelugor
11700, Georgetown
Pulau Pinang","04-6571592","Pulau Pinang"
"KKIA Tanjong Tokong",1,0,0,0,5.461071,100.306179,"Unit A-G-3 & A-G-4 Rumah Pangsa Tanjong Tokong Uda, Fasa 1 Bandar Tanjung Pinang
10470, Georgetown
Pulau Pinang","04-8993727","Pulau Pinang"
"KKIA Telok Intan",1,0,0,0,4.00117,101.01195,"Jalan Maharajalela
36000, Telok Intan
Perak","05-6221011 / 2033 / 4828","Perak"
"KKIA Gerik",1,0,0,0,5.433767,101.129717,"Batu 1, Jalan Intan
33300, Gerik
Perak","05-7912871","Perak"
"KKIA Parit Buntar",1,0,0,0,5.13002,100.48196,"Jalan Sekolah
34200, Parit Buntar
Perak","05-7162355","Perak"
"KKIA Batu Gajah",1,0,0,0,4.478056,101.035,"Jalan Changkat, Pekan Batu Gajah
31000, Batu Gajah
Perak","05-3661627","Perak"
"KKIA Greentown",1,0,0,0,4.60108,101.08529,"Jalan Dato Onn Jaafar
30300, Ipoh
Perak","05-2539670","Perak"
"KKIA Ulu Kinta",1,0,0,0,4.64872,101.17419,"Pasukan Gerakan Am (Rumah Polis)
31250, Ulu Kinta
Perak","05-5332222","Perak"
"KKIA Pengkalan Pegoh",1,0,0,0,4.536722,101.068702,"Jalan Pasir Puteh, Kg Pengkalan Pegoh, Lahat
31500, Ipoh
Perak","05-3226451","Perak"
"KKIA Simpang Pulai",1,0,0,0,4.529346,101.127584,"Jalan Raja Nazrin, Kg. Kepayang
31300, Ipoh
Perak","05-3575759","Perak"
"KKIA Kuala Kangsar",1,0,0,0,4.773633,100.930617,"D/A Hospital Kuala Kangsar
33000, Kuala Kangsar
Perak","05-7760658","Perak"
"KKIA Taiping",1,0,0,0,4.84921,100.740384,"Jalan Panggung Wayang
34000, Taiping
Perak","05-8083355","Perak"
"KKIA Seri Iskandar",1,0,0,0,4.605121,100.607754,"No. 13A, (Tingkat Bawah), Persiaran Dataran 2, Taman Iskandar Perdana, Bandar Seri Iskandar
32610, Seri Iskandar
Perak","05-3711642","Perak"
"KKIA Cheras Baru",1,0,0,0,3.11213,101.75329,"Jalan 49 Bukit E, Cheras Baru
56100, Cheras
Selangor","03-42975853","Selangor"
"KKIA Kampung Pandan",1,0,0,0,3.14578,101.75059,"Kkia Kampung Pandan, Kuala Lumpur
55100, Kampung Pandan
Selangor","03-92847881","Selangor"
"KKIA Bukit Sentosa",1,0,0,0,3.4159148,101.5781466,"Jalan Seroja, 1A Bukit Sentosa
48000, Rawang
Selangor","03-61040062 / 03-60213210","Selangor"
"KKIA Kuala Kubu Baru",1,0,0,0,3.567873,101.661058,"Jalan Kolam Air, Hulu Selangor
44000, Kuala Kubu Baru
Selangor","03-60641257","Selangor"
"KKIA Jalan Bangsar",1,0,0,0,3.12981,101.67699,"Blok 2, Tingkat Bawah, Flat Sri Pahang, Bukit Bangsar
59000, Kuala Kumpur
Wp Kuala Lumpur","03-22825564","Wp Kuala Lumpur"
"KKIA Pasar Moden Gombak",1,0,0,0,3.217297,101.713298,"Bt. 5, Jln Gombak
53000, Kuala Kumpur
Wp Kuala Lumpur","03-40218030","Wp Kuala Lumpur"
"KKIA Bandar Tun Razak",1,0,0,0,3.0896,101.71366,"Blok 90-00-05, Flat Sri Kota, Bandar Tun Razak
56000, Kuala Kumpur
Wp Kuala Lumpur","03-91717129","Wp Kuala Lumpur"
"KKIA Taman Sri Sentosa",1,0,0,0,3.072354,101.649,"Blok 67-00-01 & 67-00-02, Taman Sri Sentosa
55800, Kuala Kumpur
Wp Kuala Lumpur","03-77814120","Wp Kuala Lumpur"
"KKIA Taman Pantai Indah",1,0,0,0,3.093767,101.669246,"No 7, Jln 2/ 112 F, Taman Pantai Indah, Jln Pantai Dalam, Bangsar
59000, Kuala Kumpur
Wp Kuala Lumpur","03-22825107","Wp Kuala Lumpur"
"KKIA Cheras Makmur",1,0,0,0,3.101951,101.740931,"No 16 & 18 Jln 2/96 A, Taman Cheras Makmur
56100, Kuala Kumpur
Wp Kuala Lumpur","03-91304796","Wp Kuala Lumpur"
"KKIA Koperasi Polis Fasa 2",1,0,0,0,3.221741,101.692272,"Dewan Komuniti Fasa 2, Taman Koperasi, Batu Caves
68100, Kuala Kumpur
Wp Kuala Lumpur","03-61841767","Wp Kuala Lumpur"
"KKIA Alor Gajah",1,0,0,0,2.38204,102.20754,"Alor Gajah
78000, Alor Gajah
Melaka","06-5566235","Melaka"
"KKIA Jalan Abd Samad",1,0,0,0,1.47954,103.74238,"Jalan Abdul Samad, Johor Bharu
81800, Johor Bahru
Johor","07-2224711","Johor"
"KKIA Kluang",1,0,0,0,2.03372,103.31867,"Pt 3782, Jalan Sultanah
86000, Kluang
Johor","07-7721852","Johor"
"KKIA Jalan Tun Habab",1,0,0,0,1.73667,103.89944,"Jalan Tun Habab
81900, Kota Tinggi
Johor","07-8832181","Johor"
"KKIA Kuantan",1,0,0,0,3.80835,103.32566,"Jalan Gambut, Kuantan
25000, Kuantan
Pahang","09-5132055","Pahang"
"KKIA Kuala Lipis",1,0,0,0,4.0134,101.96057,"Kuala Lipis
27200, Kuala Lipis
Pahang","09-3101083","Pahang"
