_id,NAMA,BA1,BA2,BA3,BA4,BA5,BA10,BA11,BA12,BA13,NO TEL,JENIS,TARIKH,X,Y
1,KLINIK KESIHATAN PRAI,-,-,-,13700,PULAU PINANG,-,-,-,PRAI,04-3901477,KLINIK KESIHATAN,2013-12-31T00:00:00,100.3881,5.3838
2,KLINIK DESA PERMATANG TINGGI,-,-,-,14000,PULAU PINANG,-,PERMATANG TINGGI,-,BUKIT MERTAJAM,04-5884202,KLINIK DESA,2013-12-31T00:00:00,100.4794,5.2983
3,KLINIK DESA KUBANG ULU,-,-,-,14000,PULAU PINANG,-,KUBANG ULU,-,BUKIT MERTAJAM,04-5214980,KLINIK DESA,2013-12-31T00:00:00,100.4822,5.4085
4,KLINIK DESA PERMATANG PAUH,-,-,JALAN SAMA GAGAH,13500,PULAU PINANG,-,-,PERMATANG PAUH,BUKIT MERTAJAM,04-3981380,KLINIK DESA,2013-12-31T00:00:00,100.4125,5.4114
5,KLINIK KESIHATAN IBU DAN ANAK BUKIT MERTAJAM,-,-,JALAN KULIM,14000,PULAU PINANG,-,-,-,BUKIT MERTAJAM,04-5382389,KLINIK KESIHATAN IBU DAN ANAK,2013-12-31T00:00:00,100.4649,5.3594
6,HOSPITAL SUNGAI BAKAP,-,-,-,14200,PULAU PINANG,-,SUNGAI JAWI,-,SEBERANG PERAI SELATAN,04-5824333,HOSPITAL KERAJAAN,2013-12-31T00:00:00,100.4971,5.2197
7,KLINIK KESIHATAN BUKIT PANCHOR,-,LOT 1866,JALAN BUKIT PANCHOR,14300,PULAU PINANG,-,MUKIM 7,BUKIT PANCHOR,NIBONG TEBAL,04-5931679,KLINIK KESIHATAN,2013-12-31T00:00:00,100.4928,5.1666
8,KLINIK DESA ALMA,-,-,-,14000,PULAU PINANG,-,-,ALMA,BUKIT MERTAJAM,04-5516064,KLINIK DESA,2013-12-31T00:00:00,100.4732,5.3321
9,KLINIK DESA JURU,-,-,-,14000,PULAU PINANG,-,KAMPUNG JURU,-,BUKIT MERTAJAM,04-5086500,KLINIK DESA,2013-12-31T00:00:00,100.4434,5.3157
10,KLINIK DESA KAMPUNG SEKOLAH,-,-,-,14000,PULAU PINANG,-,KAMPUNG SEKOLAH,JURU,BUKIT MERTAJAM,04-5079458,KLINIK DESA,2013-12-31T00:00:00,100.4215,5.3160
11,KLINIK DESA BUKIT TENGAH,-,-,JALAN PERMATANG PAUH,14000,PULAU PINANG,-,-,BUKIT TENGAH,BUKIT MERTAJAM,04-5372342,KLINIK DESA,2013-12-31T00:00:00,100.4292,5.3642
12,KLINIK DESA KAMPUNG PERTAMA,-,-,JALAN PERMATANG PAUH,14000,PULAU PINANG,-,KAMPUNG PERTAMA,-,BUKIT MERTAJAM,04-3982281,KLINIK DESA,2013-12-31T00:00:00,100.4181,5.3921
