_id,LONGITUD,LATITUD,KOD FASILITI,FASILITI KESIHATAN INDUK,NAMA KKIA,JARAK DARI FASILITI KESIHATAN INDUK KM,ALAMAT,POSKOD,LOKASI,BANDAR,DAERAH,NEGERI,PURATA BEBAN KERJA SEHARI,NO TELEFON,NO FAX,HOSPITAL TERDEKAT,JARAK DENGAN HOSPITAL KM
1,100.91618,5.68086,21-02010320,NA,KKIA Baling,0.0,"Lot 851, Lorong Harun Abdullah, Off Jalan Weng",9100,Luar Bandar,Baling,Baling,KEDAH,225,04-4701351,04-4701131,Hospital Baling,4.0
2,100.48786,5.64241,21-02040323,NA,KKIA Sungai Petani,0.0,"81, Jalan Padang",8000,Bandar,Sungai Petani,Kuala Muda,KEDAH,1314,04-4216357,04-4210076,Hospital Sultan Abd Halim Shah,8.0
3,100.42033,6.26274,21-02050324,NA,KKIA Jitra,0.0,Klinik Kesihatan Ibu Dan Anak Jitra,6000,Bandar,Jitra,Kubang Pasu,KEDAH,826,04-9171355,04-9178644,Hospital Jitra,4.0
4,100.61333,6.25558,21-02080321,NA,KKIA Kuala Nerang,0.0,Klinik Kesihatan Ibu Dan Anak Kuala Nerang,6300,Luar Bandar,Kuala Nerang,Padang Terap,KEDAH,479,04-7866355 / 04-7860510,04-7860510,Hospital K. Nerang,2.0
5,100.74538,5.82364,21-02100322,NA,KKIA Sik,0.0,Jalan Tuanku Ibrahim,8200,Luar Bandar,Sik,Sik,KEDAH,217,04-4690617,04-4690602,Hospital Sik,3.0
6,100.37149,5.78155,21-02110039,NA,KKIA Yan,0.0,"Klinik Kesihatan Ibu Dan Anak Yan, Yan Besar",6900,Bandar,Yan,Yan,KEDAH,122,04-4655355,04-4684251,Hospital Yan,4.5
7,100.21778,5.3641,21-07010108,Pejabat Kesihatan Barat Daya,KKIA Air Putih,0.0,"Lot 312, Mk.E, Jkr 2761 (P) Air Putih ",11000,Luar Bandar,Balik Pulau,Barat Daya,PULAU PINANG,82,04-8660287,-,Hospital Balik Pulau,2.1
8,100.49796,5.21802,21-07020111,PKDSPS,KKIA Sungai Bakap,7.2,Sungai Bakap,14200,Luar Bandar,Sungai Bakap,Seberang Perai Selatan,PULAU PINANG,152,04-5824205,-,Hospital Sg Bakap,0.4
9,100.46461,5.35989,21-07030109,KK Berapit,KKIA Bukit Mertajam,3.6,"D 49, Jalan Kulim, 14000 Bukit Mertajam",14000,Bandar,Bukit Mertajam,Seberang Perai Tengah,PULAU PINANG,806,04-5382389,-,Hospital Bukit Mertajam,0.5
10,100.289767,5.410481,21-07050110,KK Air Itam,KKIA Rifle Range,2.0,"Unit A-G-18, Flat Padang Tembak Blok A, Rumah Pangsa Rifle Range, Ayer Itam",11500,Bandar,Georgetown,Timur Laut,PULAU PINANG,41,04-8296355,-,Hospital Pulau Pinang ,5.0
11,100.30372,5.36931,21-07050112,KK Sg Dua,KKIA Taman Tun Sardon,3.0,"Unit A-G-9 & A-G-10 Rumah Pangsa Taman Tun Sardon, Gelugor",11700,Bandar,Georgetown,Timur Laut,PULAU PINANG,58,04-6571592,-,Hospital Pulau Pinang ,7.5
12,100.306179,5.461071,21-07050113,KK Tg Bungah,KKIA Tanjong Tokong,2.5,"Unit A-G-3 & A-G-4 Rumah Pangsa Tanjong Tokong Uda, Fasa 1 Bandar Tanjung Pinang",10470,Bandar,Georgetown,Timur Laut,PULAU PINANG,90,04-8993727,-,Hospital Pulau Pinang ,7.0
13,101.01195,4.00117,21-08020361,NA,KKIA Telok Intan ,0.0,Jalan Maharajalela,36000,Bandar,Telok Intan,Hilir Perak,PERAK,112,05-6221011 / 2033 / 4828,05-6212401,Hospital Teluk Intan,5.0
14,101.129717,5.433767,21-08030354,NA,KKIA Gerik,0.0,"Batu 1, Jalan Intan",33300,Bandar,Gerik,Hulu Perak,PERAK,156,05-7912871,05-7912876,Hospital Gerik,0.5
15,100.48196,5.13002,21-08040357,NA,KKIA Parit Buntar,0.0,Jalan Sekolah,34200,Bandar,Parit Buntar,Kerian,PERAK,70,05-7162355,05-7165355,Hospital Parit Buntar,0.5
16,101.035,4.478056,21-08050355,NA,KKIA Batu Gajah,0.0,"Jalan Changkat, Pekan Batu Gajah",31000,Bandar,Batu Gajah,Kinta,PERAK,221,05-3661627,05-3661492,Hospital Batu Gajah,0.4
17,101.08529,4.60108,21-08050131,KK Greentown,KKIA Greentown,0.5,Jalan Dato Onn Jaafar,30300,Bandar,Ipoh,Kinta,PERAK,115,05-2539670,-,Hospital Raja Permaisuri Bainun Ipoh,1.0
18,101.17419,4.64872,21-08050362,KK Tg Rambutan,KKIA Ulu Kinta,5.7,Pasukan Gerakan Am (Rumah Polis),31250,Bandar,Ulu Kinta,Kinta,PERAK,116,05-5332222,-,Hospital Raja Permaisuri Bainun Ipoh,10.0
19,101.068702,4.536722,21-08050268,KK Pasir Pinji,KKIA Pengkalan Pegoh,5.5," Jalan Pasir Puteh, Kg Pengkalan Pegoh, Lahat",31500,Bandar,Ipoh,Kinta,PERAK,88,05-3226451,-,Hospital Raja Permaisuri Bainun Ipoh,12.1
20,101.127584,4.529346,21-08050289,KK Gunung Rapat,KKIA Simpang Pulai,4.9,"Jalan Raja Nazrin, Kg. Kepayang",31300,Bandar,Ipoh,Kinta,PERAK,110,05-3575759,-,Hospital Raja Permaisuri Bainun Ipoh,11.3
21,100.930617,4.773633,21-08060356,NA,KKIA Kuala Kangsar,0.0,D/A Hospital Kuala Kangsar,33000,Bandar,Kuala Kangsar,Kuala Kangsar,PERAK,197,05-7760658,-,Hospital K.Kangsar,0.1
22,100.740384,4.84921,21-08070359,NA,KKIA Taiping,0.0,Jalan Panggung Wayang,34000,Bandar,Taiping,Larut Matang,PERAK,126,05-8083355,-,Hospital Taiping ,1.0
23,100.607754,4.605121,21-08090418,KK Bota Kiri,KKIA Seri Iskandar,11.8,"No. 13A, (Tingkat Bawah), Persiaran Dataran 2, Taman Iskandar Perdana, Bandar Seri Iskandar",32610,Bandar,Seri Iskandar,Perak Tengah,PERAK,0,05-3711642,-,Hospital Changkat Melintang,15.3
