"index","Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
0,"Gleneagles Medini",0,1,1,0,"1.4259169","103.63692540000001","No. 2, Jalan Medini Utara 4, Medini Iskandar, 79250 Iskandar Puteri, Johor Darul Takzim","","Johor"
1,"Kpjbandarmaharani Specialist Hospital",0,1,1,0,"2.035902","102.56726","No. 73-1, Jalan Stadium, 84000 Muar, Johor","","Johor"
2,"Kpjbandardato’Onn Specialist Hospital",0,1,1,0,"1.5440191","103.74016820000001","Lot Ptd 163189, Jalan Bukit Mutiara, Taman Bukit Mutiara, 81100 Johor Bahru, Johor","","Johor"
4,"Pasirgudangspecialist Hospital",0,1,1,0,"1.4770267","103.8957951","Lot Ptd 204781, Jalan Persiaran Dahlia 2, Taman Bukit Dahlia, 81700 Pasir Gudang, Johor","","Johor"
6,"Kpj Batu Pahat Specialist Hospital",0,1,1,0,"1.8688638","102.9920895","No. 1, Jalan Mutiara Gading Utama 1, Taman Mutiara Gading, 83000 Batu Pahat, Johor","","Johor"
8,"Hospital Pakar Kpj Johor (Kpj Johor Specialist Hospital)",0,1,1,0,"1.4759835","103.7410923","39-B, Jalan Abdul Samad, 80100 Johor Bahru, Johor","","Johor"
10,"Kpjputerispecialist Hospital",0,1,1,0,"1.4907068","103.74204370000001","No. 33, Jalan Tun Abdul Razak (Susur 5), 80000 Johor Bahru, Johor","","Johor"
12,"Regency Specialist Hospital",0,1,1,0,"1.4979541","103.8724231","No. 1, Jalan Suria, Bandar Seri Alam, 81750 Masai, Johor","","Johor"
14,"Columbiaasiahospital– Iskandar Puteri",0,1,1,0,"","","Persiaran Afiat, Taman Kesihatan Afiat, 79250 Iskandar Puteri, Johor","","Johor"
16,"Columbia Asia Hospital",0,1,1,0,"","","Persiaran Southkey 5, Kota Southkey, 80150 Johor Bahru, Johor","","Johor"
17,"Kensington Green Specialist Centre Sdn. Bhd.",0,1,1,0,"","","No. 2, Jalan Ceria 20, Taman Nusa Indah, Iskandar Puteri, 79100 Johor Bahru, Johor","","Johor"
18,"Putraspecialisthospital (Batu Pahat) Sdn. Bhd.",0,1,1,0,"1.8580657","102.92234490000001","No. 1, Jalan Peserai, 83000 Batu Pahat, Johor","","Johor"
20,"Hospital Penawar",0,1,1,0,"1.4684904","103.90395740000001","No. 17 & 18 (A-D), Pusat Perniagaan Pasir Gudang, 81700 Pasir Gudang, Johor","","Johor"
21,"Kpjkluangspecialist Hospital",0,1,1,0,"2.013087","103.27483120000001","Ptd 91374, Jalan Saujana Utama, Taman Saujana Kluang, Mukim Kluang, 86000 Kluang, Johor","","Johor"
22,"Pantai Hospital Sg. Petani",0,1,1,0,"","","No 1, Persiaran Cempaka, Bandar Amanjaya, 08000 Sungai Petani, Kedah","","Kedah"
23,"Pantaihospitallaguna Merbok",0,1,1,0,"5.6830269","100.4945783","No. 1, Lorong Blm 1/10, Bandar Laguna Merbok, 08000 Sungai Petani, Kedah","","Kedah"
24,"Kedah Medical Centre",0,1,1,0,"6.1488026","100.3693788","Pumpong, 05250 Alor Star, Kedah","","Kedah"
26,"Putra Medical Centre",0,1,1,0,"6.1239423","100.3655628","888, Jalan Sekerat, Off Jalan Putra, 05100 Alor Star, Kedah","","Kedah"
28,"Metro Specialist Hospital",0,1,1,0,"5.6290527","100.5099862","No. 1, Lorong Metro, 08000 Sungai Petani, Kedah","","Kedah"
29,"Ins Specialist Centre Sdn. Bhd.",0,1,1,0,"6.1255137","100.3646082","640-641, Jalan Pintu Sepuluh, 05100 Alor Star, Kedah","","Kedah"
30,"Mahsurimedicalcentre (Mmc)",0,1,1,0,"6.2375761","100.42072010000001","No. 1, 2 & 3, Jalan Mashuri 1C, Bandar Darulaman, 06000 Jitra, Kedah","","Kedah"
31,"Kota Bharu Medical Centre",0,1,1,0,"6.1050961","102.25969160000001","Pt 179-184 Jalan Sultan Yahya Petra, Lundang, 15150 Kota Bharu, Kelantan","","Kelantan"
33,"Kpjperdanaspecialist Hospital",0,1,1,0,"6.1217","102.24360920000001","Lot Pt 37 & 600, Seksyen 14, Jalan Bayam, 15200 Kota Bharu, Kelantan","","Kelantan"
35,"Pusat Perubatan An-Nisa'",0,1,1,0,"6.1211031","102.24053710000001","Ground Floor Jkr 284, Jalan Sultan Ibrahim, 15050 Kota Bharu, Kelantan","","Kelantan"
36,"Pantai Hospital Ayer Keroh",0,1,1,0,"2.2377008","102.287271","No. 2418-1, Km 8, Lebuh Ayer Keroh, 75450 Melaka","","Melaka"
38,"Putraspecialisthospital (Melaka) Sdn. Bhd.",0,1,1,0,"","","169, Jalan Bendahara, 75100 Melaka","","Melaka"
40,"Orientalmelakastraits Medical Centre",0,1,1,0,"2.2082482","102.2128557","Pusat Perubatan Klebang, 75200 Melaka","","Melaka"
42,"Mahkota Medical Centre Sdn. Bhd.",0,1,1,0,"","","3, Mahkota Melaka, Jalan Merdeka, 75000 Melaka","","Melaka"
44,"Kpjserembanspecialist Hospital",0,1,1,0,"2.718525","101.92182600000001","Lot 6219 & 6220, Jalan Toman 1, Kemayan Square, 70200 Seremban, Negeri Sembilan","","Negeri Sembilan"
46,"Mawar Medical Centre",0,1,1,0,"2.706218","101.94137900000001","No. 71, Jalan Rasah, 70300 Seremban, Negeri Sembilan","","Negeri Sembilan"
48,"Cmh Specialist Hospital",0,1,1,0,"2.7376998","101.9314193","Lot 3900, Jalan Tun Dr. Ismail, 70200 Seremban, Negeri Sembilan","","Negeri Sembilan"
50,"Columbiaasiahospital- Seremban",0,1,1,0,"2.7104449","101.9174837","292 & Lot Pt 1904, Jalan Haruan 2, Oakland Commercial Centre, 70300 Seremban, Negeri Sembilan","","Negeri Sembilan"
52,"Nilai Medical Centre",0,1,1,0,"2.8118159","101.77313140000001","Pt 13717, Jalan Bbn 2/1, 71800 Nilai, Negeri Sembilan","","Negeri Sembilan"
54,"Salam Senawang Specialist Hospital",0,1,1,0,"2.7124591","102.0007503","No. 234 - 243, Jalan Lavender Heights 2, Lavender Business Square, 70450 Senawang, Negeri Sembilan","","Negeri Sembilan"
56,"Hospital Bersalin Sukhilmi",0,1,1,0,"2.6926751","102.00179240000001","No. 1-G, 1-1, 3-1, 5-G, 5-1, 7-1, Jalan Coco Drive 3, Taman Bandar Senawang, 70450 Seremban, Negeri Sembilan","","Negeri Sembilan"
57,"Ucsi Hospital",0,1,1,0,"2.6054982","101.85224670000001","No 2, Avenue 3, Persiaran Springhill, 71010 Port Dickson, Negeri Sembilan Darul Khusus","","Negeri Sembilan"
58,"Kpjpahangspecialist Hospital",0,1,1,0,"3.7999731","103.3366227","Lot 105703 (Pt 83065), Tanjung Lumpur, 26060 Kuantan, Pahang","","Pahang"
59,"Pahang Medical Centre",0,1,1,0,"3.8081299","103.32439380000001","Lot 1, 3, 5 & 7 Wisma Muip, Jalan Gambut, 25000 Kuantan, Pahang","","Pahang"
61,"Kmi Kuantan Medical Centre",0,1,1,0,"3.8293373","103.2991571","Jalan Tun Razak, Bandar Indera Mahkota, 25200 Kuantan, Pahang","","Pahang"
63,"Darulmakmurmedical Centre Sdn. Bhd.",0,1,1,0,"3.7474318","103.3116681","B2-B60,	Jalan	Kempadang	Makmur,	Taman	Kempadang Makmur, 26060 Kuantan, Pahang","","Pahang"
65,"Iiummedicalspecialist Centre (Imsc)",0,1,1,0,"3.8353141","103.30499710000001","Kuliyyah Of Medicine, International Islamic University Malaysia, Indera Mahkota, 25200 Kuantan, Pahang","","Pahang"
66,"Lohguanlyespecialists Centre",0,1,1,0,"5.4198009","100.3180487","19 & 21, Logan Road, 10400 Pulau Pinang Dan 238, Macalister Road, 10400 Pulau Pinang","","Pulau Pinang"
68,"Georgetownspecialist Hospital",0,1,1,0,"5.4024943","100.30359460000001","No. 12-A, Jalan Masjid Negeri, 11600 Georgetown, Pulau Pinang","","Pulau Pinang"
70,"Pantai Hospital Penang",0,1,1,0,"5.3210056","100.2818792","82, Jalan Tengah, Bayan Baru, 11900, Bayan Lepas, Pulau Pinang","","Pulau Pinang"
71,"Gleneagles Penang",0,1,1,0,"5.4267879","100.31997070000001","No. 1, Jalan Pangkor, 10050 Georgetown, Pulau Pinang","","Pulau Pinang"
72,"Kpjpenangspecialist Hospital",0,1,1,0,"5.36913","100.43429300000001","570, Jalan Perda Utama, Bandar Perda, 14000 Bukit Mertajam, Pulau Pinang","","Pulau Pinang"
74,"Bagan Specialist Centre",0,1,1,0,"5.4102276","100.38619320000001","Jalan Bagan Satu, 13400 Butterworth, Pulau Pinang","","Pulau Pinang"
75,"Hospital Lam Wah Ee",0,1,1,0,"5.3916154","100.3043588","141, Jalan Tan Sri Teh Ewe Lim, 11600 Pulau Pinang","","Pulau Pinang"
77,"Penang Adventist Hospital",0,1,1,0,"5.4322037","100.3052404","465, Jalan Burma, 10350 Pulau Pinang","","Pulau Pinang"
79,"Mountmiriamcancer Hospital",0,1,1,0,"5.4591842","100.30054750000001","23, Jalan Bulan, Fettes Park, 11200 Tanjung Bungah, Pulau Pinang","","Pulau Pinang"
80,"Island Hospital",0,1,1,0,"5.4220563","100.3137875","No. 308, Jalan Macalister, 10450 Georgetown, Pulau Pinang","","Pulau Pinang"
81,"Kpj Ipoh Specialist Hospital",0,1,1,0,"4.5948899","101.09612910000001","26, Jalan Raja Dihilir, 30350 Ipoh, Perak","","Perak"
83,"Taiping Medical Centre",0,1,1,0,"","","45-49, Jalan Medan Taiping 2, 34000 Taiping, Perak","","Perak"
85,"Pantai Hospital Manjung",0,1,1,0,"4.215851","100.670416","Jalan Ppmp 1, Pusat Perniagaan Manjung Point, 32040 Seri Manjung, Perak Darul Ridzuan","","Perak"
87,"Kpj Sri Manjung Specialist Hospital",0,1,1,0,"4.2077181","100.67518120000001","Lot 14777, Jalan Lumut, 32000 Sitiawan, Perak","","Perak"
89,"Pantai Hospital Ipoh",0,1,1,0,"","","126, Jalan Tambun, 31400 Ipoh, Perak","","Perak"
91,"Columbiaasiahospital- Taiping",0,1,1,0,"4.8656174","100.73435110000001","No. 5, Jalan Perwira, 34000 Taiping, Perak","","Perak"
93,"Anson Bay Medical Centre",0,1,1,0,"3.9930633","100.9959814","Lot 992, Batu 3 ½, Jalan Maharajalela, 36000 Teluk Intan, Perak Darul Ridzuan","","Perak"
95,"Perak Community Specialist Hospital",0,1,1,0,"4.5815797","101.1003247","No. 277, Jalan Raja Permaisuri Bainun, 30250 Ipoh, Perak","","Perak"
97,"Pusat Perubatan Ar-Ridzuan",0,1,1,0,"4.6011291","101.0957733","A-1, B-G-3 & B-G-5, B-1-1 & B-1-3, Greentown Suria, Jalan Dato’ Seri Ahmad Said, 30450 Ipoh, Perak","","Perak"
98,"Kpj Perlis Specialist Hospital (Hospital Pakar Kpj Perlis)",0,1,1,0,"6.4332029","100.18645470000001","Lot 2550 & 2575, Pengkalan Asam, Mukim Seriab, 01000 Kangar, Perlis","","Perlis"
99,"Pantai Hospital Klang",0,1,1,0,"3.0264497","101.4262784","Lot 5921, Persiaran Raja Muda Musa, 41200 Klang, Selangor","","Selangor"
101,"Kpjkajangspecialist Hospital",0,1,1,0,"2.9999093","101.7857178","Batu 14, Jalan Cheras, 43000 Kajang, Selangor","","Selangor"
103,"Kpj Rawang Specialist Hospital (Hospital Pakar Kpj Rawang)",0,1,1,0,"3.3208268","101.5792619","Jalan Rawang, Bandar Baru Rawang, 48000 Rawang, Selangor","","Selangor"
105,"Thomsonhospitalkota Damansara",0,1,1,0,"3.1489754","101.5787909","Lot 11 Jalan Teknologi, Taman Sains Selangor 1, Kota Damansara, 47810 Petaling Jaya, Selangor","","Selangor"
