"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Klinik Desa Assam Bubok",1,0,0,0,1.93333,103.11667,"Jalan Batu Pahat
86400, Ayer Hitam
Johor","","Johor"
"Klinik Desa Batu Putih",1,0,0,0,1.8891,102.87775,"Jalan Behor Temak
83000, Bagan
Johor","","Johor"
"Klinik Desa Beroleh",1,0,0,0,1.87789,102.985754,"Jalan Parit Besar
83300, Sri Gading
Johor","","Johor"
"Klinik Desa Bindu",1,0,0,0,1.901515,102.966464,"Jalan Tongkang Pecah
83010, Tongkang Pecah
Johor","","Johor"
"Klinik Desa Kampung Baru",1,0,0,0,1.90512,103.03723,"Jalan Parit Kemang
83710, Parit Yaani
Johor","","Johor"
"Klinik Desa Kangkar Baru",1,0,0,0,2.06531,103.12484,"Jalan Meng Seng
85400, Yong Peng
Johor","","Johor"
"Klinik Desa Kangkar Senangar",1,0,0,0,2.028458,102.884881,"Jalan Kangkar Senangar
83500, Parit Sulong
Johor","","Johor"
"Klinik Desa Minyak Beku",1,0,0,0,1.79129,102.89404,"Jalan Minyak Beku
83030, Batu Pahat
Johor","","Johor"
"Klinik Desa Parit Abdul Rahman",1,0,0,0,1.93139,102.89017,"Jalan Simpang Lima
83500, Parit Sulong
Johor","","Johor"
"Klinik Desa Parit Basri",1,0,0,0,2.01683,102.95778,"Sri Medan
83400, Batu Pahat
Johor","","Johor"
"Klinik Desa Parit Belemam",1,0,0,0,1.91869,102.92154,"Jalan Parit Jalil
83010, Tongkang Pecah
Johor","","Johor"
"Klinik Desa Parit Betaling",1,0,0,0,2.02919,102.98374,"Kinik Desa Parit Betaling, Sungai Simpang Kiri
83400, Sri Medan
Johor","","Johor"
"Klinik Desa Parit Bilal",1,0,0,0,1.88937,102.94855,"Jalan Kukup, Kampung Parit Bilal
83010, Tongkang Pecah
Johor","","Johor"
"Klinik Desa Parit Gantong",1,0,0,0,2.00155,102.86493,"Jalan Kangkar Senangar
83500, Parit Sulong
Johor","","Johor"
"Klinik Desa Parit Haji Salam",1,0,0,0,1.8392,102.87806,"Jalan Muar, Bagan
83030, Bagan Laut
Johor","","Johor"
"Klinik Desa Parit Hamil",1,0,0,0,1.96733,103.05287,"Kampung Parit Hamil, Sungai Bekok
86400, Yong Peng
Johor","","Johor"
"Klinik Desa Parit Hylam",1,0,0,0,1.72163,103.08015,"Jalan Bukit Kelicap
83200, Senggarang
Johor","","Johor"
"Klinik Desa Parit Jelutong",1,0,0,0,1.847441,103.084695,"Jalan Kluang
86400, Parit Raja
Johor","","Johor"
"Klinik Desa Parit Kader",1,0,0,0,1.77968,103.1065,"Jalan Tanjung Labuh, Senggarang
83200, Senggarang
Johor","","Johor"
"Klinik Desa Parit Kasih",1,0,0,0,1.79888,103.03472,"Jalan Parit Botak
83200, Batu Pahat
Johor","","Johor"
"Klinik Desa Parit Kemang",1,0,0,0,1.75532,103.10791,"Jalan Pontian
83200, Senggarang
Johor","","Johor"
"Klinik Desa Parit Kuda",1,0,0,0,1.86473,103.81435,"Jalan Muar
83100, Semerah
Johor","","Johor"
"Klinik Desa Parit Lapis Sempadan",1,0,0,0,1.81665,103.11945,"Jalan Parit Raja Darat
86400, Parit Raja
Johor","","Johor"
"Klinik Desa Parit Lubuk",1,0,0,0,1.91175,102.80834,"Jalan Muar
83100, Semerah
Johor","","Johor"
"Klinik Desa Parit Maimon",1,0,0,0,1.94028,102.85224,"Jalan Haji Arip, Sungai Simpang Kiri
83030, Parit Sulong
Johor","","Johor"
"Klinik Desa Parit Pandan",1,0,0,0,1.82084,103.06503,"Jalan Kampung Sri Pandan
83300, Sri Gading
Johor","","Johor"
"Klinik Desa Parit Sangit",1,0,0,0,1.90059,102.82298,"Jalan Muar
83100, Semerah
Johor","","Johor"
"Klinik Desa Parit Semarang",1,0,0,0,1.88362,103.15039,"Jalan Kluang
86400, Ayer Hitam
Johor","","Johor"
"Klinik Desa Parit Warijo",1,0,0,0,2.00995,102.94438,"Jalan Sri Medan, Sungai Simpang Kiri
83000, Sri Medan
Johor","","Johor"
"Klinik Desa Parit Yob",1,0,0,0,1.89869,103.02322,"Taman Kota
83710, Yong Peng
Johor","","Johor"
"Klinik Desa Patah Pedang",1,0,0,0,1.77769,102.90729,"Jalan Parit Botak
83030, Senggarang
Johor","","Johor"
"Klinik Desa Perpat",1,0,0,0,1.72131,103.12645,"Jalan Perpat Timbul
83100, Rengit
Johor","","Johor"
"Klinik Desa Peserai",1,0,0,0,1.84944,102.90492,"Jalan Bakau Condong
83000, Bagan
Johor","","Johor"
"Klinik Desa Sejagong",1,0,0,0,2.06875,102.9474,"Jalan Medan
83400, Sri Medan
Johor","","Johor"
"Klinik Desa Separap",1,0,0,0,1.90999,102.86731,"Jalan Simpang Lima
83500, Parit Sulong
Johor","","Johor"
"Klinik Desa Simpang 6",1,0,0,0,1.77506,103.14424,"Jalan Pontian
83200, Rengit
Johor","","Johor"
"Klinik Desa Sri Ladang",1,0,0,0,1.72554,103.14862,"Jalan Seri Merlong
83100, Rengit
Johor","","Johor"
"Klinik Desa Sri Menanti",1,0,0,0,2.01013,102.97406,"Klinik Desa Sri Menanti, Sri Medan
83400, Sri Medan
Johor","","Johor"
"Klinik Desa Sri Mendapat",1,0,0,0,1.93368,103.08321,"Jalan Batu Pahat
86400, Ayer Hitam
Johor","","Johor"
"Klinik Desa Sri Paya",1,0,0,0,1.84388,103.14597,"Jalan Susur 1 Kelapa Sawit 1
86400, Parit Raja
Johor","","Johor"
"Klinik Desa Sungai Ayam",1,0,0,0,1.78632,102.93634,"Jalan Sungai Ayam
83000, Batu Pahat
Johor","","Johor"
"Klinik Desa Sungai Linau Kecil",1,0,0,0,1.87253,102.93067,"Jalan Bukit Gambir
83000, Tongkang Pecah
Johor","","Johor"
"Klinik Desa Sungai Merlong",1,0,0,0,1.66576,103.18359,"Kampong Sungai Merlong, Jalan Pontian
83100, Rengit
Johor","","Johor"
"Klinik Desa Sungai Nibong",1,0,0,0,1.92031,102.79886,"Jalan Muar
83100, Semerah
Johor","","Johor"
"Klinik Desa Talang Bunut",1,0,0,0,1.90366,103.12825,"Jalan Durian, Parit Raja
86400, Parit Raja
Johor","","Johor"
"Klinik Desa Tanjung Laboh",1,0,0,0,1.75515,103.01356,"Jalan Tanjung Laboh
83200, Senggarang
Johor","","Johor"
"Klinik Desa Tanjung Semberong",1,0,0,0,1.84611,102.94493,"Jalan Bunga Tanjung, Taman Limpoon
86400, Sri Gading
Johor","","Johor"
