"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Klinik Kesihatan Beseri",1,0,0,0,6.51487,100.23052,"Km 10, Jalan Kaki Bukit
2400, Kangar
Perlis","04-9381355","Perlis"
"Klinik Kesihatan Kampung Gial",1,0,0,0,6.4655,100.27354,"Kampung Gial, Mata Air
2500, Kangar
Perlis","04-9861177","Perlis"
"Klinik Kesihatan Kangar",1,0,0,0,6.43956,100.19059,"Jalan Kolam
1000, Kangar
Perlis","04-9778333","Perlis"
"Klinik Kesihatan Kuala Perlis",1,0,0,0,6.397391,100.134362,"Batu 7, Jalan Kuala Perlis, Kuala Perlis
2000, Kangar
Perlis","04-9854259","Perlis"
"Klinik Kesihatan Padang Besar",1,0,0,0,6.65689,100.31586,"Km 37, Jalan Padang Besar
2100, Kangar
Perlis","04-9490333","Perlis"
"Klinik Kesihatan Simpang Empat",1,0,0,0,6.33657,100.19147,"Simpang Empat
2700, Kangar
Perlis","04-9807214","Perlis"
"Klinik Kesihatan Arau",1,0,0,0,6.4327,100.27051,"Arau
2600, Kangar
Perlis","04-9861218","Perlis"
"Klinik Kesihatan Kuala Sanglang",1,0,0,0,6.262644,100.195881,"Kuala Sanglang
2800, Kangar
Perlis","04-7940216","Perlis"
"Klinik Kesihatan Kaki Bukit",1,0,0,0,6.64256,100.2116,"Kaki Bukit
2200, Kangar
Perlis","04-9456237","Perlis"
"Klinik Kesihatan Kampung Lalang",1,0,0,0,5.79484,100.898119,"Mukim Siong
9100, Baling
Kedah","04-4721497 / 04-4721613 / 04-4701131","Kedah"
"Klinik Kesihatan Kuala Ketil",1,0,0,0,5.60554,100.65335,"Kuala Ketil
9300, Baling
Kedah","04-4163355 / 04-4164557","Kedah"
"Klinik Kesihatan Kupang",1,0,0,0,5.63485,100.83376,"Poliklinik Kesihatan Kupang, Kupang Baling
9200, Baling
Kedah","04-4766355","Kedah"
"Klinik Kesihatan Malau",1,0,0,0,5.50261,100.7216,"Baling
9100, Baling
Kedah","04-4721095 / 04-4721203","Kedah"
"Klinik Kesihatan Parit Panjang",1,0,0,0,5.70405,100.74437,"Baling
9120, Baling
Kedah","04-4761246","Kedah"
"Klinik Kesihatan Tawar",1,0,0,0,5.59514,100.771,"Kuala Ketil
9310, Baling
Kedah","04-4766308","Kedah"
"Klinik Kesihatan Bandar Baharu",1,0,0,0,5.12626,100.51265,"Bandar Baharu
34950, Bandar Baharu
Kedah","04-7178232","Kedah"
