"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"Poliklinik Bestari",1,0,0,0,5.3712,100.415,"No 20
Lorong Pauh Jaya 1/1
13700, Prai
Pulau Pinang","04-399 3636","Pulau Pinang"
"Klinik Munirah Iskandar",1,0,0,0,5.37502,100.42,"No 29
Jalan Pauh Indah 1
13500, Seberang Jaya
Pulau Pinang","04-398 8944","Pulau Pinang"
"Klinik Pergigian Desa Murni",1,0,0,0,5.37509,100.42,"No. 19,1-09, Taman Pauh Indah
Jalan Pauh Indah 1
13800, Bukit Mertajam
Pulau Pinang","04-356 9958","Pulau Pinang"
"Poliklinik Intan Sdn Bhd",1,0,0,0,5.41007,100.412,"1500, Taman Arowana
Main Road
13500, Permatang Pauh
Pulau Pinang","04-507 6560","Pulau Pinang"
"Poliklinik Dr.Azhar & Rakan-Rakan",1,0,0,0,5.41009,100.411,"No. 1510, Tingkat Bawah, Taman Arowana
Jalan Permatang Pauh
13500, Permatang Pauh
Pulau Pinang","04-398 8180","Pulau Pinang"
"Poliklinik Ikhsan",1,0,0,0,5.40331,100.399,"32
Jalan Sembilang 2
13700, Seberang Jaya
Pulau Pinang","04-399 2391","Pulau Pinang"
"Klinik Joe Fernandez",1,0,0,0,5.39622,100.403,"1
Halaman Tenggiri 2
13700, Seberang Jaya
Pulau Pinang","04-399 8413","Pulau Pinang"
"Klinik Shaik M.R",1,0,0,0,5.39369,100.402,"79
Lorong Tuna
13700, Prai
Pulau Pinang","04-399 5380","Pulau Pinang"
"Poliklinik Chong & Su",1,0,0,0,5.39354,100.403,"47
Lorong Tuna
13700, Seberang Jaya
Pulau Pinang","04-399 9100","Pulau Pinang"
"Klinik Syed Alwi Dan Chandran",1,0,0,0,5.3961,100.398,"3
Jalan Todak 5
13700, Seberang Jaya
Pulau Pinang","04-390 1464","Pulau Pinang"
"Klinik Pakar Kanak-Kanak & Keluarga",1,0,0,0,5.39571,100.399,"No. 4-A, Pusat Bandar Seberang Jaya
Jalan Todak 4
13700, Seberang Jaya
Pulau Pinang","TIADA","Pulau Pinang"
"Klinik Pergigian Dr.Ameen",1,0,0,0,5.39052,100.402,"27
Jalan Tenggiri
13700
Pulau Pinang","04-398 4942","Pulau Pinang"
"Klinik Pergigian Seberang Jaya",1,0,0,0,5.39014,100.402,"41
Jalan Tenggiri
13700, Seberang Jaya
Pulau Pinang","04-390 3013","Pulau Pinang"
"Klinik Dr. Gigi Bhar",1,0,0,0,5.3899,100.402,"49
Jalan Tenggiri
13700, Seberang Jaya
Pulau Pinang","04-398 8919","Pulau Pinang"
"Klinik Amar",1,0,0,0,5.39193,100.401,"No. 44
Jalan Tenggiri
13700, Seberang Jaya
Pulau Pinang","04-390 0855","Pulau Pinang"
"Klinik Singapore Seberang Jaya",1,0,0,0,5.39122,100.401,"64
Jalan Tenggiri
13700, Seberang Jaya
Pulau Pinang","04-3997575","Pulau Pinang"
"Klinik Munawar",1,0,0,0,5.38451,100.403,"19, Kompleks Siakap
Tingkat Siakap 3
13700, Seberang Jaya
Pulau Pinang","04-390 1107","Pulau Pinang"
"Poliklinik Anda",1,0,0,0,5.38448,100.403,"1, Kompleks Siakap
Tingkat Siakap 3
13700, Seberang Jaya
Pulau Pinang","04-390 8745","Pulau Pinang"
"Klinik Suan",1,0,0,0,5.38446,100.392,"Medan Kurau 3
13700, Prai
Pulau Pinang","04-390 1207","Pulau Pinang"
"Poliklinik Kuan",1,0,0,0,5.38339,100.391,"21, Taman Chai Leng
Jalan Gan Chai Leng
13700, Prai
Pulau Pinang","04-398 3771","Pulau Pinang"
"Klinik Pergigian Perai",1,0,0,0,5.38402,100.39,"59, Taman Chai Leng
Jalan Gan Chai Leng
13700
Pulau Pinang","04-390 3505","Pulau Pinang"
"Poliklinik Dr. Velu",1,0,0,0,5.38405,100.39,"No. 60
Jalan Gan Chai Leng
13700, Prai
Pulau Pinang","04-390 5375","Pulau Pinang"
"Fong Medical Specialist Clinic",1,0,0,0,5.38423,100.393,"32, Taman Chai Leng
Jalan Kurau
13700, Prai
Pulau Pinang","04-390 0055","Pulau Pinang"
"Klinik Wong",1,0,0,0,5.38381,100.393,"26, Taman Chai Leng
Jalan Kurau
13700, Prai
Pulau Pinang","04-390 3213","Pulau Pinang"
"Cheah Dental Surgery",1,0,0,0,5.38322,100.392,"No 4,1 St Floor, Taman Chai Leng
Jalan Kurau
13700, Prai
Pulau Pinang","TIADA","Pulau Pinang"
"Poliklinik Ikhsan",1,0,0,0,5.36716,100.427,"32
Lorong Perda Utama 2
13700, Bukit Mertajam
Pulau Pinang","04-538 8096","Pulau Pinang"
"Poliklinik Famili",1,0,0,0,5.3671,100.425,"21
Jalan Lampam Off Jln Tenggiri
13700, Seberang Jaya
Pulau Pinang","04-530 1722","Pulau Pinang"
