"Name","Clinic","Hospital","ST","VAC","Latitude","Longitude","Address","Contact","State"
"AMC Medical Clinic",0,0,0,1,"2.69262",101.90478,"Seremban","","Negeri Sembilan"
"Auditorium BDA, Wisma BDA",0,0,0,1,"3.2081999",113.0485959,"Bintulu","","Sarawak"
"Auditorium BDA, Wisma Bintulu",0,0,0,1,"3.21315",113.06177,"Bintulu","","Sarawak"
"Austin International Convention Centre - AICC",0,0,0,1,"1.5610537",103.7736871,"Johor Bahru","","Johor"
"Axiata Arena Bukit Jalil",0,0,0,1,"3.0538134",101.691247,"Kuala Lumpur","","W.P. Kuala Lumpur"
"B Braun Medical Industries Sdn Bhd",0,0,0,1,"3.1466205",101.6150604,"Barat Daya","","Pulau Pinang"
"Balai Raya Felda Chiku 5",0,0,0,1,"4.987999",102.202632,"Gua Musang","","Kelantan"
"Balai Raya Sebauh",0,0,0,1,"3.11774",113.26414,"Sebauh","","Sarawak"
"Bangi Avenue Convention Center [BACC]",0,0,0,1,"2.9006795",101.7890557,"Ulu Langat","","Selangor"
"Bangi Convention Centre (BCC), Seksyen 14 BBB",0,0,0,1,"2.9258159",101.7613474,"Ulu Langat","","Selangor"
"Bilik Gerakan JKK Simpang Pelangai",0,0,0,1,"4.1921461",101.9234722,"Lipis","","Pahang"
"Bilik Mesyuarat Eksekutif Perpustakaan Raja Zarith Sofiah UTM",0,0,0,1,"1.5614414",103.6407195,"Johor Bahru","","Johor"
"Bilik Operasi JKKK Nenasi Pantai (Bekas GIATMARA Nenasi)",0,0,0,1,"4.2543939","117.9348812","Pekan","","Pahang"
"Borneo Convention Centre Kuching (BCCK)",0,0,0,1,"1.5626183","110.40560140000001","Kuching","","Sarawak"
"Bukit Beruntung Golf Resort",0,0,0,1,"3.4356508",101.562882,"Ulu Selangor","","Selangor"
"Casuarina Convention Centre",0,0,0,1,"4.67102",101.076663,"Kinta","","Perak"
"Christian Ecumenical Worship Centre",0,0,0,1,"1.52202",110.3442,"Kuching","","Sarawak"
"CIDB Convention Centre",0,0,0,1,"3.1257744",101.7150183,"Kuala Lumpur","","W.P. Kuala Lumpur"
"D'cattleya",0,0,0,1,"2.694524","101.9790452","Seremban","","Negeri Sembilan"
"Desaru Coast Conference Centre (DCCC)",0,0,0,1,"1.5406382",104.2626428,"Kota Tinggi","","Johor"
"Dewan 2020",0,0,0,1,"6.4148",100.1928,"Perlis","","Perlis"
"Dewan ADTEC",0,0,0,1,"3.92767",102.46066,"Jerantut","","Pahang"
"Dewan Al Hana, Kedah",0,0,0,1,"5.82501",100.74729,"Sik","","Kedah"
"Dewan Al- Muktafi Billah Shah UniSZA",0,0,0,1,"5.3997172","103.07816190000001","Kuala Terengganu","","Terengganu"
"Dewan Apam Putra Lubok Jong",0,0,0,1,"6.0073",102.0973,"Pasir Mas","","Kelantan"
"Dewan APMM",0,0,0,1,"5.8884",102.4705,"Pasir Puteh","","Kelantan"
"Dewan Aspirasi UiTM",0,0,0,1,"4.70635",103.44215,"Dungun","","Terengganu"
"Dewan Badminton Kompleks Sukan LADA, Kuah",0,0,0,1,"6.33212",99.8595,"Langkawi","","Kedah"
"Dewan Balai Polis Kabong",0,0,0,1,"1.92124",111.20718,"Saratok","","Sarawak"
"Dewan Balai Polis Kabong, Kabong",0,0,0,1,"1.8797881",111.0861171,"Kabong","","Sarawak"
"Dewan Balai Rakyat Bayan Baru",0,0,0,1,"","","Barat Daya","","Pulau Pinang"
"Dewan Balora Benta, Lipis",0,0,0,1,"4.0143248",101.9644191,"Lipis","","Pahang"
"Dewan Bandar Pasir Mas",0,0,0,1,"6.0436",102.14511,"Pasir Mas","","Kelantan"
"Dewan Bandaran Kampar",0,0,0,1,"4.48717",101.15391,"Kampar","","Perak"
"Dewan Bandaran Kinta, Batu Gajah",0,0,0,1,"4.47572",101.03632,"Kinta","","Perak"
"Dewan Bandaran Kulim",0,0,0,1,"5.3694",100.5586,"Kulim","","Kedah"
"Dewan Bandaran Pengkalan Hulu",0,0,0,1,"5.7016626",100.9924749,"Hulu Perak","","Perak"
"Dewan Bandaran Teluk Intan",0,0,0,1,"4.02295",101.02473,"Hilir Perak","","Perak"
"Dewan Bangunan Latihan KESEDAR",0,0,0,1,"4.8385836",101.9623796,"Gua Musang","","Kelantan"
"Dewan Belia Arena KBBS, Pitas",0,0,0,1,"6.7071865",117.0303367,"Kota Marudu","","Sabah"
"Dewan Besar ADTEC",0,0,0,1,"4.8538",100.7436,"Larut, Matang dan Selama","","Perak"
"Dewan Besar Chee Ann Khor",0,0,0,1,"2.0207032",103.080368,"Batu Pahat","","Johor"
"Dewan Besar Dara Muadzam Shah",0,0,0,1,"3.0629458",103.075214,"Rompin","","Pahang"
"Dewan Besar Felcra Seberang Perak",0,0,0,1,"4.141135",100.7637319,"Perak Tengah","","Perak"
"Dewan Besar Gemas",0,0,0,1,"2.581287",102.5924631,"Tampin","","Negeri Sembilan"
"Dewan Bunga Raya Pantai Seri Tujuh",0,0,0,1,"6.21684",102.12717,"Tumpat","","Kelantan"
"Dewan Bunga Tanjung",0,0,0,1,"2.2649669",102.1956077,"Melaka Tengah","","Melaka"
"Dewan Canseleri Sultan Haji Ahmad Shah, Drb Hicom",0,0,0,1,"3.5307668",103.3864349,"Pekan","","Pahang"
"Dewan Cenderawasih, Pekan Pendang",0,0,0,1,"5.99136",100.47778,"Pendang","","Kedah"
"Dewan Chu Rahimah Jerantut",0,0,0,1,"3.9855121",102.3372294,"Jerantut","","Pahang"
"Dewan CREATE",0,0,0,1,"2.45369",102.20561,"Alor Gajah","","Melaka"
"Dewan CTRM",0,0,0,1,"2.2665126",102.2474934,"Melaka Tengah","","Melaka"
"Dewan Dagang Politeknik Sultan Mizan Zainal Abidin",0,0,0,1,"Lokasi Politeknik","","Dungun","","Terengganu"
"Dewan Dato Bahaman",0,0,0,1,"2.74074",102.24447,"Kuala Pilah","","Negeri Sembilan"
"Dewan Dato' Mohamed Jamrah, Sg Sumun",0,0,0,1,"3.88999",100.85296,"Bagan Datuk","","Perak"
"Dewan Dato Permysuri Permyjaya",0,0,0,1,"4.4575411",114.034896,"Miri","","Sarawak"
"Dewan Dato' Seri Amar Diraja",0,0,0,1,"4.22994",103.42605,"Kemaman","","Terengganu"
"Dewan Datok Zainal Abidin Zin",0,0,0,1,"5.0145614",100.5325956,"Kerian","","Perak"
"Dewan Datu Paduka Mat Salleh PPD",0,0,0,1,"5.5902625",117.8327287,"Kinabatangan","","Sabah"
"Dewan Dinner World",0,0,0,1,"3.2046191",113.0548954,"Bintulu","","Sarawak"
"Dewan D'Sury",0,0,0,1,"2.96743",102.13168,"Jelebu","","Negeri Sembilan"
"Dewan Eastwood Valley",0,0,0,1,"4.3706",114.0172,"Miri","","Sarawak"
"Dewan Felda Kemahang 1",0,0,0,1,"5.8528",102.00661,"Tanah Merah","","Kelantan"
"Dewan Feldajaya Trolak, Sungkai",0,0,0,1,"3.9299874",101.3448959,"Batang Padang","","Perak"
"Dewan Gong Kemuntong",0,0,0,1,"5.73802",102.50855,"Besut","","Terengganu"
"Dewan Hakka",0,0,0,1,"5.8657254",118.0603147,"Sandakan","","Sabah"
"Dewan Hang Tuah",0,0,0,1,"2.20141",102.24791,"Melaka Tengah","","Melaka"
"Dewan IKBN",0,0,0,1,"4.453066",114.0402335,"Miri","","Sarawak"
"Dewan Inderawati , Beruas",0,0,0,1,"4.5025653",100.7795271,"Manjung","","Perak"
"Dewan IPD Kunak, Kunak",0,0,0,1,"4.684741",118.2464795,"Kunak","","Sabah"
"Dewan IPG Balung",0,0,0,1,"4.282457",117.8447492,"Tawau","","Sabah"
"Dewan IPS Telupid",0,0,0,1,"5.6265105",117.1205358,"Kinabatangan","","Sabah"
"Dewan Japerun Ayer Molek",0,0,0,1,"2.2068914",102.3123707,"Melaka Tengah","","Melaka"
"Dewan Japerun Klebang",0,0,0,1,"2.2099213",102.1963876,"Melaka Tengah","","Melaka"
"Dewan Japerun Sg Udang",0,0,0,1,"2.2897737",102.1288136,"Melaka Tengah","","Melaka"
"Dewan JKKK Kampung Sungai Koyan 1",0,0,0,1,"4.2165034",101.7963666,"Raub","","Pahang"
